1단계,2단계,격자 X,격자 Y
강원도,강릉시,92,132
강원도,고성군,85,145
강원도,동해시,97,127
강원도,삼척시,98,125
강원도,속초시,87,141
강원도,양구군,77,139
강원도,양양군,88,138
강원도,영월군,82,118
강원도,원주시,77,122
강원도,인제군,80,136
강원도,정선군,89,120
강원도,철원군,67,143
강원도,춘천시,73,134
강원도,태백시,95,119
강원도,평창군,84,123
강원도,홍천군,75,130
강원도,화천군,71,138
강원도,횡성군,77,125
경기도,가평군,69,132
경기도,고양시덕양구,57,128
경기도,고양시일산동구,56,129
경기도,고양시일산서구,56,129
경기도,과천시,60,124
경기도,광명시,58,125
경기도,광주시,65,123
경기도,구리시,63,127
경기도,군포시,59,122
경기도,김포시,55,128
경기도,남양주시,63,128
경기도,동두천시,61,134
경기도,부천시,57,125
경기도,성남시분당구,62,123
경기도,성남시수정구,63,124
경기도,성남시중원구,63,124
경기도,수원시권선구,60,120
경기도,수원시영통구,61,120
경기도,수원시장안구,60,121
경기도,수원시팔달구,61,120
경기도,시흥시,57,122
경기도,안산시단원구,57,122
경기도,안산시상록구,58,121
경기도,안성시,65,115
경기도,안양시동안구,60,123
경기도,안양시만안구,59,123
경기도,양주시,61,132
경기도,양평군,69,125
경기도,여주시,70,121
경기도,연천군,60,137
경기도,오산시,61,118
경기도,용인시기흥구,62,120
경기도,용인시수지구,62,121
경기도,용인시처인구,64,120
경기도,의왕시,60,122
경기도,의정부시,61,130
경기도,이천시,68,121
경기도,파주시,56,131
경기도,평택시,61,114
경기도,포천시,64,134
경기도,하남시,64,126
경기도,화성시,62,119
경상남도,거제시,91,69
경상남도,거창군,77,86
경상남도,고성군,85,71
경상남도,김해시,94,77
경상남도,남해군,77,67
경상남도,밀양시,92,83
경상남도,사천시,80,70
경상남도,산청군,76,80
경상남도,양산시,97,79
경상남도,의령군,83,78
경상남도,진주시,81,75
경상남도,창녕군,87,81
경상남도,창원시마산합포구,89,76
경상남도,창원시마산회원구,89,77
경상남도,창원시성산구,91,76
경상남도,창원시의창구,90,77
경상남도,창원시진해구,91,75
경상남도,통영시,86,68
경상남도,하동군,75,73
경상남도,함안군,86,77
경상남도,함양군,73,82
경상남도,합천군,81,83
경상북도,경산시,91,89
경상북도,경주시,100,90
경상북도,고령군,83,87
경상북도,구미시,84,96
경상북도,군위군,88,96
경상북도,김천시,80,96
경상북도,문경시,81,106
경상북도,봉화군,90,113
경상북도,상주시,81,102
경상북도,성주군,82,91
경상북도,안동시,90,106
경상북도,영덕군,102,103
경상북도,영양군,97,108
경상북도,영주시,89,111
경상북도,영천시,95,93
경상북도,예천군,85,106
경상북도,울릉군,127,127
경상북도,울진군,102,115
경상북도,의성군,90,101
경상북도,청도군,89,86
경상북도,청송군,96,100
경상북도,칠곡군,85,93
경상북도,포항시남구,102,94
경상북도,포항시북구,102,95
광주광역시,광산구,57,74
광주광역시,남구,59,74
광주광역시,동구,60,74
광주광역시,북구,59,75
광주광역시,서구,59,74
대구광역시,남구,89,90
대구광역시,달서구,88,90
대구광역시,달성군,86,89
대구광역시,동구,90,91
대구광역시,북구,89,91
대구광역시,서구,88,90
대구광역시,수성구,89,90
대구광역시,중구,89,90
대전광역시,대덕구,68,101
대전광역시,동구,68,100
대전광역시,서구,67,100
대전광역시,유성구,66,101
대전광역시,중구,68,100
부산광역시,강서구,95,76
부산광역시,금정구,98,77
부산광역시,기장군,100,77
부산광역시,남구,98,75
부산광역시,동구,97,75
부산광역시,동래구,98,76
부산광역시,부산진구,97,75
부산광역시,북구,97,76
부산광역시,사상구,96,75
부산광역시,사하구,96,74
부산광역시,서구,97,74
부산광역시,수영구,99,75
부산광역시,연제구,98,76
부산광역시,영도구,97,74
부산광역시,중구,97,74
부산광역시,해운대구,99,76
서울특별시,강남구,61,125
서울특별시,강동구,63,126
서울특별시,강북구,61,128
서울특별시,강서구,58,126
서울특별시,관악구,59,125
서울특별시,광진구,62,126
서울특별시,구로구,58,125
서울특별시,금천구,59,124
서울특별시,노원구,61,129
서울특별시,도봉구,61,129
서울특별시,동대문구,61,127
서울특별시,동작구,59,125
서울특별시,마포구,59,126
서울특별시,서대문구,59,127
서울특별시,서초구,60,125
서울특별시,성동구,61,126
서울특별시,성북구,61,127
서울특별시,송파구,62,125
서울특별시,양천구,58,126
서울특별시,영등포구,59,125
서울특별시,용산구,60,126
서울특별시,은평구,59,127
서울특별시,종로구,60,127
서울특별시,중구,60,127
서울특별시,중랑구,62,127
세종특별자치시,세종특별자치시,65,104
울산광역시,남구,102,84
울산광역시,동구,104,83
울산광역시,북구,103,85
울산광역시,울주군,98,84
울산광역시,중구,102,84
인천광역시,강화군,51,130
인천광역시,계양구,56,126
인천광역시,남동구,55,124
인천광역시,동구,54,125
인천광역시,미추홀구,55,124
인천광역시,부평구,55,125
인천광역시,서구,55,125
인천광역시,연수구,55,123
