업체명,품목명,주소,대표전화번호,시도명,시군구명
서서울농협하나로마트사직점,식품가스 등,서울특별시 종로구 사직로8길 4 ,02-725-4021,서울특별시,종로구
이마트 청계천점,생필품,서울특별시 중구 청계천로 400,02-2290-1050,서울특별시,중구
이마트 용산점,양곡 및 생필품,서울특별시 용산구 한강대로23길 55,02-2012-1050,서울특별시,용산구
농협하나로클럽 용산점,양곡 및 생필품,서울특별시 용산구 청파로 122,02-2077-2812,서울특별시,용산구
동명할인마트,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 마장로 193,02-2291-9989,서울특별시,성동구
부부슈퍼,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 무학봉길87-1,02-2294-8428,서울특별시,성동구
세림무지개마트,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 마장로42길14 B01호,02-2295-0638,서울특별시,성동구
우리마트,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 사근동길 58,02-2293-5549,서울특별시,성동구
청량유통,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 고산자로8길 32-2,02-2294-5258,서울특별시,성동구
하나로마트행당점,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 행당로 87,02-2297-7766,서울특별시,성동구
하모니마트,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 독서당로62길43,02-2293-0622,서울특별시,성동구
금호마트,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 금호산길 67,02-2236-2848,서울특별시,성동구
G-마트,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 무수막길80,02-2253-2442,서울특별시,성동구
중앙할인마트,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 독서당로 302,02-2294-9114,서울특별시,성동구
가락공판장,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 매봉길 13,02-2298-5600,서울특별시,성동구
㈜뚝섬현대유통,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 성덕정길29,02-463-2211,서울특별시,성동구
쌍용수퍼렛,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 상원길 59 B동 107호 ,02-463-6988,서울특별시,성동구
㈜뚝섬쇼핑센터,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 성수2가1동 339-5호,02-464-3531,서울특별시,성동구
롯데슈퍼성수점,"생수,쌀,부식류,부탄가스,살균표백제,즉석식품,분유세트,기저귀,모기약등",서울특별시 성동구 아차산로7길 28,02-461-5601,서울특별시,성동구
